@relation docs

@attribute text string
@attribute text_label {T,D,F}

@data
'Blocker Save Caller ID settings Real-time caller ID Identify callers - even the ones not in your contact list. Missed call Caller ID after a missed call with multiple options to handle contact information. Completed call Caller ID after a call is completed with multiple options to handle contact information. No answer Caller ID after an unanswered call with multiple options to handle contact information. Unknown caller Caller ID after a call from a number not in your contact list with multiple options to handle contact information. Extras void onClick',D
'Blocker Save Caller ID settings Real-time caller ID Identify callers - even the ones not in your contact list. Missed call Caller ID after a missed call with multiple options to handle contact information. Completed call Caller ID after a call is completed with multiple options to handle contact information. No answer Caller ID after an unanswered call with multiple options to handle contact information. Unknown caller Caller ID after a call from a number not in your contact list with multiple options to handle contact information. Extras void onClick',D
'Titanium Recorder Save Caller ID settings Real-time caller ID Identify callers - even the ones not in your contact list. Missed call Caller ID after a missed call with multiple options to handle contact information. Completed call Caller ID after a call is completed with multiple options to handle contact information. No answer Caller ID after an unanswered call with multiple options to handle contact information. Unknown caller Caller ID after a call from a number not in your contact list with multiple options to handle contact information. Extras Show caller ID for contacts in phonebook void onClick',D
'Blocker Save Caller ID settings Real-time caller ID Identify callers - even the ones not in your contact list. Missed call Caller ID after a missed call with multiple options to handle contact information. Completed call Caller ID after a call is completed with multiple options to handle contact information. No answer Caller ID after an unanswered call with multiple options to handle contact information. Unknown caller Caller ID after a call from a number not in your contact list with multiple options to handle contact information. Extras void onClick',D
'Blocker Save Caller ID settings Real-time caller ID Identify callers - even the ones not in your contact list. Missed call Caller ID after a missed call with multiple options to handle contact information. Completed call Caller ID after a call is completed with multiple options to handle contact information. No answer Caller ID after an unanswered call with multiple options to handle contact information. Unknown caller Caller ID after a call from a number not in your contact list with multiple options to handle contact information. Extras void onClick',D
'Blocker Save Caller ID settings Real-time caller ID Identify callers - even the ones not in your contact list. Missed call Caller ID after a missed call with multiple options to handle contact information. Completed call Caller ID after a call is completed with multiple options to handle contact information. No answer Caller ID after an unanswered call with multiple options to handle contact information. Unknown caller Caller ID after a call from a number not in your contact list with multiple options to handle contact information. Extras void onRequestPermissionsResult',D
'Eliza: Hello.\r\nTouch the microphone to speak to me or type at the prompt. void onCreate',D
'#Enter your nick name void onClick go android.widget.ImageView',D
'Microphone Gain 32dB Phonic Mono Equalizer Custom void onCreate',D
'Microphone Gain 32dB Phonic Mono Equalizer Custom void onResume',D
'GrooVe IP To Type Message Send 0.0 Credits boolean onCreateOptionsMenu',D
'0 KB/s void onClick',D
'0 KB/s void onClick grid 1 android.widget.LinearLayout',D
'SpeechJammer Configure Headphone not connected Adjust voice delay 150 ms Because of the Android\'s inherent audio latency the actual audio delay will be higher than configured. A value of 150ms is recommended.\r\nThen begin recording by pressing Start below! Start void onCreate',D
'Wi-fi Walkie Talkie void onCreate microphone image android.widget.ImageView',D
'Wi-fi Walkie Talkie void onCreate microphone image android.widget.ImageView',D
'Audio Settings Audio Format Choose a suitable file format for your recordings Audio File Destination Set the folder to store your recordings\r\n\r\n/storage/emulated/0/TotalRecall Folder naming Create unique sub-folders by contact / date Audio Player Playback via Earpiece Plackback audio records via the device\'s earpiece instead of the speakerphone. Earpiece Volume Set the earpiece volume during playback void onStop',D
'CoolCamHB Click here to add camera void onConfigurationChanged',D
'Beautify Video PikaPika Collage Selfie void onClick rl home goto video android.widget.RelativeLayout',D
'Jan 27 2017 4:14:51 PM void onRequestPermissionsResult',D
'Connecting... Connecting to camera. Remote operation Transfer image Geotagging Snap Movie Photo Collage Highlight Photo Collage Highlight Playback Home Monitor boolean onPrepareOptionsMenu',D
'Connecting... Connecting to camera. Remote operation Transfer image Geotagging Snap Movie Photo Collage Highlight Photo Collage Highlight Playback Home Monitor void onConfigurationChanged',D
'0 Info. void OnClickRec',D
'Talk Exit 0 seconds left void onWindowFocusChanged',D
'Please wait... void onResume',D
'From:  Type message void onPause',D
'Search void onPause',D
'Camera Name 01/02/2009 09:30:00PM void onDestroy',D
'Rebtel No messages yet. Chat void onCreateContextMenu',D
'Cancel 00:00:00 boolean onOptionsItemSelected',D
'Cancel 00:00:00 void onCreate',D
'Cancel 00:00:00 void onCreate',D
'Cancel 00:00:00 void onCreate',D
'Cancel 00:00:00 void onCreate',D
'Cancelar 00:00:00 void onCreate',D
'Cancel 00:00:00 void onResume',D
'Cancel 00:00:00 void onResume',D
'Cancel 00:00:00 void onResume',D
'Cancel 00:00:00 void onResume',D
'Cancel 00:00:00 void onResume',D
'Cancelar 00:00:00 void onResume',D
'Exit the app? Cancel OK void onClick',D
'Exit the app? Cancel OK void onClick ok button android.widget.Button',D
'callX All Calls Favorites Filter Today Tuesday February 7 Unknown Welcome 0 minutes ago 5:45 PM 01:42 Thursday January 19 Unknown Welcome Jan 19 5:32 AM 01:42 void onBackPressed',D
'callX All Calls Favorites Filter Today Tuesday February 7 Unknown Welcome 0 minutes ago 5:45 PM 01:42 Thursday January 19 Unknown Welcome Jan 19 5:32 AM 01:42 void onBackPressed',D
'callX All Calls Favorites Filter Today Tuesday February 7 Unknown Welcome 0 minutes ago 5:45 PM 01:42 Thursday January 19 Unknown Welcome Jan 19 5:32 AM 01:42 void onResume',D
'callX All Calls Favorites Filter Today Tuesday February 7 Unknown Welcome 0 minutes ago 5:45 PM 01:42 Thursday January 19 Unknown Welcome Jan 19 5:32 AM 01:42 void onResume',D
'Exit the app? Cancel OK void onResume',D
'Exit the app? Cancel OK void onResume ok button android.widget.Button',D
'Today Tuesday February 7 Unknown Welcome 0 minutes ago 5:46 PM 00:00 All Calls Favorites Filter boolean onOptionsItemSelected',D
'Today Tuesday February 7 Unknown Welcome 0 minutes ago 5:46 PM 00:00 All Calls Favorites Filter void onActivityResult',D
'Exit the app? Cancel OK void onResume',D
'Afternoon Picnic Listen Quiz   Practice   A Trip to the Lake Conversation Afternoon Picnic CATHY:  \"Mom can we have a picnic this afternoon?\"\r\n\r\nMOM:  \"Sure Cathy.  Where should we have it?\"\r\n\r\nCATHY:  \"How about the lake?\"\r\n\r\nMOM:  \"That\'s a great idea.\"\r\n\r\nCATHY:  \"What should we pack for lunch?\"\r\n\r\nMOM:  \"I can make ham sandwiches and potato salad.\"\r\n\r\nCATHY:  \"Yummy. I love ham sandwiches and potato salad.\"\r\n\r\nMOM:  \"Tell your sisters about the picnic.\"\r\n\r\nCATHY:  \"Ok. I think it is going to get hot later today.\"\r\n\r\nMOM:  \"That\'s good.  It will be a good day for a swim in the lake.\"\r\n\r\nCATHY:  \"I\'ll tell Cindy and Alison to wear their swimsuits.\"\r\n\r\nMOM:  \"Don\'t forget to pack your life jackets too.\"\r\n\r\nCATHY:  \"Ok.  Will Andy be joining us?\"\r\n\r\nMOM:  \"Of course your brother will be joining us.  Where is he?\"\r\n\r\nCATHY:  \"He\'s taking a nap on the couch.\"\r\n\r\nMOM:  \"Let\'s wake him up.\"\r\n\r\nCATHY:  \"You can wake him up.  I\'ll get my sisters.\"\r\n\r\nMOM:  \"Andy wake up.  We\'re going to the lake.\"\r\n\r\n 00:00 boolean onCreateOptionsMenu',D
'English Conversation Categories Trips & Vacations 7 Categories 20 Conversations Eating Related Topics 5 Categories 14 Conversations Family and Friends 8 Categories 24 Conversations Talking about Kids 7 Categories boolean onCreateOptionsMenu',D
'Camera Touch to focus and press the blue camera button to take photos. For more help click Online help from Settings. Open Camera is completely free. If you like this app please consider buying my donate app :) (see link in Settings or Online help).\r\n\r\nPrivacy Policy: Location permission is required for geotagging but this is disabled by default. If enabled your location is encoded in the saved files (and it is only used for this purpose).\r\n\r\n(This message won\'t show again.) OK (This message won\'t show again) void clickedTakePhoto',D
'IP CAMERA ONE Click here to add camera void onStop',D
'Wi-fi Walkie Talkie boolean onCreateOptionsMenu',D
'Wi-fi Walkie Talkie void onCreate',D
'Wi-fi Walkie Talkie void onCreate microphone image android.widget.ImageView',D
'Record Start Listening Buffer time 1 min 5 mins 10 mins 30 mins boolean onCreateOptionsMenu',D
'Test frequencies 125 Hz 250 Hz 500 Hz 750 Hz 1000 Hz 1500 Hz 2000 Hz 3000 Hz 4000 Hz Defaults All OK android.view.View onCreateView',D
'Hearing Test Selection of calibration coef. Before the test let me choose the calibration coefficients. Test frequencies Select the frequencies at which the test is carried out. Presentation of results Adjust settings for results presentation. Noise monitoring Inspect the background noise during the test. Advanced Printing Add your institution\'s name and logo. Suppress masking noise Disable contralateral masking noise for the purpose of free field audiometry. Miscellaneous boolean onPreferenceChange',D
'Wi-fi Walkie Talkie void onCreate microphone image android.widget.ImageView',D
'Camera Touch to focus and press the blue camera button to take photos. For more help click Online help from Settings. Open Camera is completely free. If you like this app please consider buying my donate app :) (see link in Settings or Online help).\r\n\r\nPrivacy Policy: Location permission is required for geotagging but this is disabled by default. If enabled your location is encoded in the saved files (and it is only used for this purpose).\r\n\r\n(This message won\'t show again.) OK (This message won\'t show again) void clickedTakePhoto',D
'Ear Assist Audio Volume Equalizer 60 230 910 3.6k 14k boolean onCreateOptionsMenu',D
'Welcome to Burner Life is complicated! Use Burner to stay in touch in everyday situation without sharing your personal number. How will you use Burner? void onActivityResult',F
'Choose an area code We\'re currently out of the area code Search for another area code Enter area code Search Available Numbers Nearby Numbers void onActivityResult',F
'Burner Add a forwarding number You can also add phone number to your burner\'s contact Phone Number Done void onClick activity enter contact $ text view done android.widget.TextView',F
'Audio/Echo Settings Speaker Volume Increases the volume to the ear piece or speaker.  Change this setting if incoming audio is too loud or too quiet. Microphone Volume Adjust this setting if the far end person says your voice is too loud or too quiet.  If the person you are talking to complains your voice is too loud or if they complain that there is echo or they hear themselves when they speak then lower this setting.  If the far end person has trouble hearing you then increase this setting. Bluetooth Speaker Volume Adjust the speaker volume when using bluetooth. Bluetooth Mic Volume Adjust the mic volume when using bluetooth. void onStart',F
'LOW PITCH HIGH SLOW SPEED FAST METAL AMPLIFY ECHO CHORUS PRESET void onPause',F
'Pin code Enable pin code access Every time the app launches If inactive for 5 min * * * * Change your pin code void onClick',F
'Pin code Enable pin code access Every time the app launches If inactive for 5 min * * * * Change your pin code void onDestroy',F
'Gallery No media found. boolean onCreateOptionsMenu',F
'Gallery No media found. void onStop',F
'Gallery No media found. void onClick button share',F
'Custom Save Button Font Q 1 W 2 E 3 R 4 T 5 Y 6 U 7 I 8 O 9 P 0 A S D F G H J K L Z X C V B N M ?123  English . void onClick',F
'Language and Dictionary Input languages EmojiKeyboard Pro English (United States) Additional dictionary Deutsch English Français Italiano Pусский Português void onCreate',F
'CUSTOM Q 1 W 2 E 3 R 4 T 5 Y 6 U 7 I 8 O 9 P 0 A S D F G H J K L Z X C V B N M ?123  English . Color Cancel OK boolean onKeyUp theme hor list view com.android.inputmethod.latin.settings.HListView',F
'CUSTOM Q 1 W 2 E 3 R 4 T 5 Y 6 U 7 I 8 O 9 P 0 A S D F G H J K L Z X C V B N M ?123  English . Color Cancel OK void <init> theme hor list view com.android.inputmethod.latin.settings.HListView',F
'CUSTOM Q 1 W 2 E 3 R 4 T 5 Y 6 U 7 I 8 O 9 P 0 A S D F G H J K L Z X C V B N M ?123  English . Color Cancel OK void onInitializeAccessibilityNodeInfo theme hor list view com.android.inputmethod.latin.settings.HListView',F
'How It Works void onStop',F
'Contacts to save There are no recordings boolean onCreateOptionsMenu',F
'New Feedback [Type Feedback] Send boolean onOptionsItemSelected',F
'Feedback Inbox New Feedback Send Feedback to Vector boolean onOptionsItemSelected',F
'Feedback Inbox New Feedback Send Feedback to Vector void onResume',F
'Search void onStart',F
'Kik Lock void onCreate',F
'DailyFunny History: 0 items All Back To Funny void onResume',F
'DailyFunny void nahButtonClicked',F
'DailyFunny void shareButtonClicked',F
'Feedback Version 1.7.2 - Build 999 Release Notes Feedback Requested Open Items Resolved Items Ignored Items void onCreate',F
'Spanish Dictionary Start boolean onCreateOptionsMenu',F
'Auto Send Settings Send Via Auto Upload on WIFI only Only send recorded files when wi-fi is connected Auto Retry Attempt to retry uploading upon failure at a later time Delete Clip Removes the recording after it has been uploaded Synchronization - Google Drive Sync Now Delete From Google Drive Remove clip from Google Drive when deleted locally on the device Authorization for Uploading Configure Google Drive Configure Google void onClick summary android.widget.TextView',F
'Auto Send Settings Send Via Auto Upload on WIFI only Only send recorded files when wi-fi is connected Auto Retry Attempt to retry uploading upon failure at a later time Delete Clip Removes the recording after it has been uploaded Synchronization - Google Drive Sync Now Delete From Google Drive Remove clip from Google Drive when deleted locally on the device Authorization for Uploading Configure Google Drive Configure Google boolean onKeyDown',F
'Auto Send Settings Send Via Auto Upload on WIFI only Only send recorded files when wi-fi is connected Auto Retry Attempt to retry uploading upon failure at a later time Delete Clip Removes the recording after it has been uploaded Synchronization - Google Drive Sync Now Delete From Google Drive Remove clip from Google Drive when deleted locally on the device Authorization for Uploading Configure Google Drive Configure Google void onActivityResult',F
'Free Caller ID Total Recall now has free caller ID. It will identify callers for you - even the ones not in your contact list. Caller ID will show as a pop-up after calls and you can fully adjust it to your preferences.\r\n\r\nBy using this service you agree to the EULA and Privacy Policy (includes info about cookies).\r\n\r\nIf you do not agree please disable Caller ID in the settings. EULA Privacy Policy OK void onCreate',F
'Total Recall Save Caller ID settings Real-time caller ID Identify callers - even the ones not in your contact list. Missed call Caller ID after a missed call with the option to save the number or call back. Completed call Caller ID after a call is completed with the option to save the number or call back. No answer Caller ID after an unanswered call with the option to save the number or call back. Extras Show caller ID for contacts in phonebook Placement of real-time caller ID boolean onKeyDown',F
'Blocker Save Caller ID settings Real-time caller ID Identify callers - even the ones not in your contact list. Missed call Caller ID after a missed call with multiple options to handle contact information. Completed call Caller ID after a call is completed with multiple options to handle contact information. No answer Caller ID after an unanswered call with multiple options to handle contact information. Unknown caller Caller ID after a call from a number not in your contact list with multiple options to handle contact information. Extras void onActivityResult',F
'Blocker Save Caller ID settings Real-time caller ID Identify callers - even the ones not in your contact list. Missed call Caller ID after a missed call with multiple options to handle contact information. Completed call Caller ID after a call is completed with multiple options to handle contact information. No answer Caller ID after an unanswered call with multiple options to handle contact information. Unknown caller Caller ID after a call from a number not in your contact list with multiple options to handle contact information. Extras void onBackPressed',F
'Total Recall Save Caller ID settings Real-time caller ID Identify callers - even the ones not in your contact list. Missed call Caller ID after a missed call with the option to save the number or call back. Completed call Caller ID after a call is completed with the option to save the number or call back. No answer Caller ID after an unanswered call with the option to save the number or call back. Extras Show caller ID for contacts in phonebook Placement of real-time caller ID void onCreate',F
'Blocker Save Caller ID settings Real-time caller ID Identify callers - even the ones not in your contact list. Missed call Caller ID after a missed call with multiple options to handle contact information. Completed call Caller ID after a call is completed with multiple options to handle contact information. No answer Caller ID after an unanswered call with multiple options to handle contact information. Unknown caller Caller ID after a call from a number not in your contact list with multiple options to handle contact information. Extras void onStop',F
'Nickname Email Sign up with Camfrog Sign up with Facebook Already have an account? Sign In boolean onOptionsItemSelected',F
'Buy Sticker Set You have: 0 coins boolean onOptionsItemSelected',F
'Contacts Online All WELCOME! Join Main Camfrog Room Search For Camfrog Users Chat Room List boolean onCreateOptionsMenu',F
'Stay in touch anywhere with\r\nfast and secure instant messaging. Sign in New to Trillian?  Sign up for free! void onBackPressed',F
'Stay in touch anywhere with\r\nfast and secure instant messaging. Sign in New to Trillian?  Sign up for free! void onResume',F
'Stay in touch anywhere with\r\nfast and secure instant messaging. Sign in New to Trillian?  Sign up for free! void onSaveInstanceState',F
'Stay in touch anywhere with\r\nfast and secure instant messaging. Sign in New to Trillian?  Sign up for free! void onClick invite contact by phone screen button done',F
'Stay in touch anywhere with\r\nfast and secure instant messaging. Sign in New to Trillian?  Sign up for free! boolean onOptionsItemSelected',F
'Stay in touch anywhere with\r\nfast and secure instant messaging. Sign in New to Trillian?  Sign up for free! void onClick accounts activity button skip',F
'Stay in touch anywhere with\r\nfast and secure instant messaging. Sign in New to Trillian?  Sign up for free! void onClick accounts activity button done',F
'Stay in touch anywhere with\r\nfast and secure instant messaging. Sign in New to Trillian?  Sign up for free! boolean onContextItemSelected',F
'1080 The FAN void onResume',F
'LOW PITCH HIGH SLOW SPEED FAST METAL AMPLIFY ECHO CHORUS PRESET void onStart',F
'Security Alert Account Error.Please Contact the Help Desk 1 (866) 428-4967 Cancel void onDestroy',F
'Tools Discount \r\nCalculator Calculator void onResume',F
'Contact Us Sales 1 (800) 365-6616 Customer Service 1 (866) 428-4967 void onResume',F
'Alerts Manager Monetary Total Off Targeted Amount $0.00 # of Transactions Off # of Transactions 0 Credit Card Sales Off # of Transactions 0 Credit Card Refunds Off # of Transactions 0 void onPause',F
'Nickname Name Nickname will appear only within this application on this device. void onResume',F
'Notifications System Notifications You do not have any notifications. void onResume',F
'Select a Card Reader No Card Reader Selected Audio Jack Card Reader Chase uDynamo void onDeviceSelect',F
'Select a Card Reader No Card Reader Selected Audio Jack Card Reader Chase uDynamo void onItemClick',F
'Confirmation Amount Issued Approval Code #  null $0.00 Send Customer Receipt Email Email address Phone # (000) 000-0000 Done void onClick',F
'Confirmation Amount Issued Approval Code #  null $0.00 Send Customer Receipt Email Email address Phone # (000) 000-0000 Done void onClick',F
'Categories +Misc There are no items in the product catalog.\r\n You can add Miscellaneous items. Continue void onClick',F
'Categories +Misc There are no items in the product catalog.\r\n You can add Miscellaneous items. Continue void onClick',F
'Discount Calculator Current Price $0.00 Enter Discount \% 0.00\% Discounted Amount Your Total Price Reset void onDestroy',F
'Discount Calculator Current Price $0.00 Enter Discount \% 0.00\% Discounted Amount Your Total Price Reset void onResume',F
'Change Password Your existing password has expired. \r\nPlease create a new password. Enter your User Name New Password Help Submit void onClick',F
'Identification We don\'t recognize this mobile device. As a precaution we need to verify your identity before you can access your merchant account. Please request an Identification Code to help us identify you. I have an Identification Code Request an Identification Code void onDestroy',F
'Identification We don\'t recognize this mobile device. As a precaution we need to verify your identity before you can access your merchant account. Please request an Identification Code to help us identify you. I have an Identification Code Request an Identification Code void onPause',F
'Identification We don\'t recognize this mobile device. As a precaution we need to verify your identity before you can access your merchant account. Please request an Identification Code to help us identify you. I have an Identification Code Request an Identification Code void onResume',F
'Sign Up Chase Paymentech provides credit and debit card payment processing for businesses and retail merchants. Before using this application you need to sign up for a merchant account with Chase Paymentech. You can complete an online application by going to chasecheckout.com on your computer. If you would like to speak to a sales representative please call 1 (800) 365-6616 or complete the form below. First Name Last Name Company Name Email Address (000) 000-0000 Cancel Submit void onDestroy',F
'Sign Up Chase Paymentech provides credit and debit card payment processing for businesses and retail merchants. Before using this application you need to sign up for a merchant account with Chase Paymentech. You can complete an online application by going to chasecheckout.com on your computer. If you would like to speak to a sales representative please call 1 (800) 365-6616 or complete the form below. First Name Last Name Company Name Email Address (000) 000-0000 Cancel Submit void onResume',F
'Discount Calculator Current Price $0.00 Enter Discount \% 0.00\% Discounted Amount Your Total Price Reset void onTextChanged edit field current price android.widget.EditText edit field discount percent android.widget.EditText',F
'Tolerence  65\% void onCreate',F
'About Easy Voice Recorder Version 1.8.1 See what\'s new Upgrade to Pro See all the additional features Rate the app Follow us on Twitter Suggest EVR to a friend More apps Help us translate and beta test www.digipom.com void onCreate',F
'Release notes - Improved Bluetooth recording on Android 5.0 Lollipop.\r\n- On Android 5.0 Lollipop notifications can now be optionally hidden from the lock screen.\r\n- Other bug fixes and improvements.\r\n\r\nThank you for your continued support! If you like Easy Voice Recorder please take the time to leave us a nice review; this really helps us out! We can also be reached via EVR\'s help page.\r\n void onCreate',F
'Recommended apps Try out these awesome apps by Digipom and our partners. Night Filter Night Filter is an easy to use screen filter application for your Android phone or tablet. Audiko ringtones All ringtones in just one app. Choose what you would like or create a custom ringtone. Pencil Sketch Pencil Sketch is an easy-to-use app to make you an artist by creating a pencil sketch of your photos. void onCreate',F
'Calculator 0 mc m+ m- mr C 7 8 9 4 5 6 1 2 3 0 . void onClick save',F
'Login you\'ll need to login to fb with FreeTalk to see your Facebook friends. this is a one time process Continue boolean onCreateOptionsMenu',F
'Share on Facebook Log In Post Status Update Cancel void onPause',F
'NAPA AutoCare PRIVACY POLICY Accept void onPause',F
'NAPA AutoCare PRIVACY POLICY Accept void onRestoreInstanceState',F
'Settings Type in a terminal name. Select + to add additional Terminals. Use < or > to scroll Terminal Name Select default transaction Credit Sales Credit Pre-Authorization Cash Off Gift Card Off Sales Tax Off Tipping Off Account Information Company Name Off Printing Off Card Reader Help boolean onCreateOptionsMenu',F
'About application About Privacy policy Terms of use void onBackPressed',F
'Account number Log in Forgot your password? Contact support I\'m new here Create an account void onBackPressed',F
'Kik Lock boolean onCreateOptionsMenu',F
'KViewQR void <init>',F
'GPaddy Security Downloads Gmail Hangouts Messaging Contacts Dialer Google Play Movies & TV Google Play Store Browser Calculator Calendar Gallery Clock Currents Earth Email Google Search Google Play services Google+ GPaddy Security void onWindowFocusChanged',F
'Welcome to GPaddy Vault. Set up your password first. Draw a pattern to unlock void onStop',F
'GPaddy Security 8 Months APPs locked Time Lock WiFi Lock OFF Guest Lock void onResume',F
'Enter 4 digit password to unlock 1 2 3 4 5 6 7 8 9 0 void onClickEvent',F
'Welcome to GPaddy Vault. Set up your password first. Enter 4 digit password 1 2 3 4 5 6 7 8 9 0 void onNumClick',F
'Hi GPaddy Vault found a new APP  installed tap to lock it. Lock void onClick',F
'Enter 4 digit password to unlock 1 2 3 4 5 6 7 8 9 0 void onDraw btn more',F
'Draw pattern to unlock void onRestoreInstanceState gesture pw d unlock lock view android.view.View',F
'Subscribe Subscribe to\r\nVoicemail to Text Cancel Confirm void onClick',F
'Subscribe Subscribe to\r\nVoicemail to Text Cancel Confirm void onResume',F
'History Remove New Dialogue boolean onCreateOptionsMenu',F
'Multilingual Remove 0 boolean onCreateOptionsMenu',F
'SPY Smart v2.1.16.0219 Quick Look Login void <init>',F
'Christmas Photo Frames Loading... void onCreate',F
'Cancel Signature Confirm Retry void onCreate',F
'Press Play To Listen boolean onCreateOptionsMenu',F
'#1 Advanced Caller ID App Worldwide Another JaredCo App void onCreate',F
'Flowers keyboard Customize Test your keyboard here void onClick activate button',F
'Loading void onDestroy',F
'KViewQR void onCreate',F
'Blends & Phonics - FlashCards & Videos Download FULL version for FREE Phonics and Letter Blends - Flash Cards and Phonics Videos void onPause',F
'Letter Blends 1 A  B AB void onCreate',F
'Long press to take a video Stickers void onStop',F
'Off Outdoor Super ear boolean onCreateOptionsMenu',F
'Off Outdoor Super ear void onProgressChanged',F
'Back 0 New folder /storage/emulated/0/ !ReadyToFlash 1000cartuningdesigns 360 AadhkTime acebible_kjv_index addwatermark AEE AePictur air AirStream void onDestroy',F
'Voicemail to Email Settings Receive your voicemails as text and audio files (English and Spanish supported) as an email at up to two addresses Email Address 1 Email Address 2 Cancel Turn on void onClick ok button',F
'Voicemail to Email Settings Receive your voicemails as text and audio files (English and Spanish supported) as an email at up to two addresses Email Address 1 Email Address 2 Cancel Turn on void onResume',F
'Voicemail to Email Settings Receive your voicemails as text and audio files (English and Spanish supported) as an email at up to two addresses Email Address 1 Email Address 2 Cancel Turn on void onStart',F
'Settings Greetings & Pin Default Change PIN Voicemail Visual Voicemail Language Default void onResume',F
'Change PIN To use MetroPCS Visual Voicemail you need to set a PIN code. To reset the PIN to the last 4 digits of your phone number dial #793#. Enter new PIN Next void onResume',F
'Visual Voicemail Welcome to\r\nMetroPCS Visual Voicemail Getting your voicemails just got a whole lot easier. Simply press play to listen to any of your messages. Of course you can still listen to your voicemails by dialing 1-2-3 from your phone. Retry Now void onCreate',F
'Visual Voicemail Welcome to\r\nMetroPCS Visual Voicemail Getting your voicemails just got a whole lot easier. Simply press play to listen to any of your messages. Of course you can still listen to your voicemails by dialing 1-2-3 from your phone. Retry Now void onResume',F
'Failed to subscribe to Voicemail to Text. Please make sure that you have connection to the data network. OK void onClick',F
'Burner App - Area code lookup Get a 310 local number Los Angeles California United States void onBackPressed',F
'Burner App - Area code lookup Get a 310 local number Los Angeles California United States void onDestroy',F
'Business boolean onCreateOptionsMenu',F
'Countries Greece USA boolean onCreateOptionsMenu',F
'Ox. En. Dict Home History Favorites More A(1) A(2) a(1) a(2) a-(1) a-(2) a-(3) a-(4) -a(1) boolean onCreateOptionsMenu',F
'Ox. En. Dict Home History Favorites More A(1) A(2) a(1) a(2) a-(1) a-(2) a-(3) a-(4) -a(1) void onCreate',F
'Ox. En. Dict Home History Favorites More A(1) A(2) a(1) a(2) a-(1) a-(2) a-(3) a-(4) -a(1) void onDestroy',F
'Practical Encyclopedia of Boating 1 day(s) left of trial period. $18.99\r\nFULL LICENSE Redeem code Benefits of the full license Unlimited access Work offline No ads void onPause',F
'Clinician\'s Pocket Drug Reference 1 day(s) left of trial period. FULL LICENSE Redeem code Benefits of the full license Unlimited access Work offline No ads void onPause',F
'Ox. En. Dict Home History Favorites More A(1) A(2) a(1) a(2) a-(1) a-(2) a-(3) a-(4) -a(1) void onPause',F
'Ox. En. Dict Home History Favorites More A(1) A(2) a(1) a(2) a-(1) a-(2) a-(3) a-(4) -a(1) void onStop',F
'Blocker void onDestroy',F
'Titanium Recorder void onDestroy',F
'Slickdeals void onStart',F
'Rate Caller ID Pro How is your experience so far with Caller ID Pro Bad Good void onConfigurationChanged',F
'Blacklist Search     Add contact no contacts void onCreate',F
'Blacklist Search     Add contact no contacts void onDestroy',F
'Search by Text Tutorial Privacy Policy Terms of Service Review on Play Store Contact Us CamFindApp.com\r\nVersion: 4.1.0 (201)\r\nPowered by CloudSight\r\nSpeech recognition and/or text-to-speech (as appropriate)\r\nprovided by Nuance Communications Inc. Stream Favorites Capture History Settings boolean onKeyDown',F
'Back Related Images Detail void onCreate',F
